id,ユニット,タグ,問題タイプ,問題文,選択肢A,選択肢B,選択肢C,選択肢D,正解,解説,例解仕訳_借方科目,例解仕訳_借方金額,例解仕訳_貸方科目,例解仕訳_貸方金額
13,基礎_五分類,負債,四択_分類,勘定科目「前受金」は次のうちどれに分類される？,資産,負債,純資産,収益,B,前受金は負債に属する。高校簿記では五分類を最初に押さえる。,,,,
14,基礎_五分類,負債,四択_分類,勘定科目「未払金」は次のうちどれに分類される？,資産,負債,純資産,収益,B,未払金は負債に属する。高校簿記では五分類を最初に押さえる。,,,,
15,基礎_五分類,負債,四択_分類,勘定科目「未払費用」は次のうちどれに分類される？,資産,負債,純資産,収益,B,未払費用は負債に属する。高校簿記では五分類を最初に押さえる。,,,,
16,基礎_五分類,資産(マイナス),四択_分類,勘定科目「貸倒引当金」は次のうちどれに分類される？,資産,負債,純資産,収益,A,貸倒引当金は資産(マイナス)に属する。高校簿記では五分類を最初に押さえる。,,,,
17,基礎_五分類,純資産,四択_分類,勘定科目「資本金」は次のうちどれに分類される？,資産,負債,純資産,収益,C,資本金は純資産に属する。高校簿記では五分類を最初に押さえる。,,,,
18,基礎_五分類,純資産,四択_分類,勘定科目「繰越利益剰余金」は次のうちどれに分類される？,資産,負債,純資産,収益,C,繰越利益剰余金は純資産に属する。高校簿記では五分類を最初に押さえる。,,,,
19,基礎_五分類,収益,四択_分類,勘定科目「売上」は次のうちどれに分類される？,資産,負債,純資産,収益,D,売上は収益に属する。高校簿記では五分類を最初に押さえる。,,,,
20,基礎_五分類,収益,四択_分類,勘定科目「受取利息」は次のうちどれに分類される？,資産,負債,純資産,収益,D,受取利息は収益に属する。高校簿記では五分類を最初に押さえる。,,,,
21,基礎_五分類,収益,四択_分類,勘定科目「受取手数料」は次のうちどれに分類される？,資産,負債,純資産,収益,D,受取手数料は収益に属する。高校簿記では五分類を最初に押さえる。,,,,
22,基礎_五分類,費用,四択_分類,勘定科目「仕入」は次のうちどれに分類される？,資産,負債,純資産,収益,E,仕入は費用に属する。高校簿記では五分類を最初に押さえる。,,,,
23,基礎_五分類,費用,四択_分類,勘定科目「給料」は次のうちどれに分類される？,資産,負債,純資産,収益,E,給料は費用に属する。高校簿記では五分類を最初に押さえる。,,,,
24,基礎_五分類,費用,四択_分類,勘定科目「水道光熱費」は次のうちどれに分類される？,資産,負債,純資産,収益,E,水道光熱費は費用に属する。高校簿記では五分類を最初に押さえる。,,,,
25,基礎_五分類,費用,四択_分類,勘定科目「通信費」は次のうちどれに分類される？,資産,負債,純資産,収益,E,通信費は費用に属する。高校簿記では五分類を最初に押さえる。,,,,
26,基礎_五分類,費用,四択_分類,勘定科目「支払利息」は次のうちどれに分類される？,資産,負債,純資産,収益,E,支払利息は費用に属する。高校簿記では五分類を最初に押さえる。,,,,
27,基礎_五分類,費用,四択_分類,勘定科目「減価償却費」は次のうちどれに分類される？,資産,負債,純資産,収益,E,減価償却費は費用に属する。高校簿記では五分類を最初に押さえる。,,,,
28,基礎_五分類,費用,四択_分類,勘定科目「旅費交通費」は次のうちどれに分類される？,資産,負債,純資産,収益,E,旅費交通費は費用に属する。高校簿記では五分類を最初に押さえる。,,,,
29,基礎_五分類,費用,四択_分類,勘定科目「租税公課」は次のうちどれに分類される？,資産,負債,純資産,収益,E,租税公課は費用に属する。高校簿記では五分類を最初に押さえる。,,,,
30,基礎_仕訳,現金取引/売上,四択_仕訳,"商品100,000円を掛けで販売した。","借:現金 100,000 / 貸:売上 100,000","借:売掛金 100,000 / 貸:売上 100,000","借:売上 100,000 / 貸:売掛金 100,000","借:商品 100,000 / 貸:売上 100,000",B,掛け販売→代金は後日回収なので、資産の売掛金が増加（借方）、収益の売上が計上（貸方）。,売掛金,100000,売上,100000
31,基礎_仕訳,仕入/買掛金,四択_仕訳,"商品50,000円を掛けで仕入れた。","借:仕入 50,000 / 貸:買掛金 50,000","借:買掛金 50,000 / 貸:仕入 50,000","借:現金 50,000 / 貸:仕入 50,000","借:仕入 50,000 / 貸:現金 50,000",A,掛け仕入→費用の仕入を計上（借方）、代金は後払いのため負債の買掛金（貸方）。,仕入,50000,買掛金,50000
32,基礎_仕訳,備品購入,四択_仕訳,"備品200,000円を現金で購入した。","借:備品 200,000 / 貸:現金 200,000","借:現金 200,000 / 貸:備品 200,000","借:消耗品費 200,000 / 貸:現金 200,000","借:現金 200,000 / 貸:消耗品費 200,000",A,資産の備品が増加（借方）、現金が減少（貸方）。,備品,200000,現金,200000
33,基礎_仕訳,前払/未払,四択_仕訳,"家賃12,000円を来月分まで前払いした（全額当月支払い）。","借:支払家賃 12,000 / 貸:現金 12,000","借:前払費用 12,000 / 貸:現金 12,000","借:現金 12,000 / 貸:前払費用 12,000","借:未払費用 12,000 / 貸:現金 12,000",B,将来の費用を先に払った→資産の前払費用（借方）、現金減少（貸方）。,前払費用,12000,現金,12000
34,基礎_仕訳,減価償却,四択_仕訳,"備品の当期分減価償却費3,000円を計上した。","借:減価償却費 3,000 / 貸:減価償却累計額 3,000","借:減価償却累計額 3,000 / 貸:減価償却費 3,000","借:備品 3,000 / 貸:減価償却費 3,000","借:減価償却費 3,000 / 貸:備品 3,000",A,費用の減価償却費（借方）を認識し、資産のマイナス項目：減価償却累計額（貸方）を計上。,減価償却費,3000,減価償却累計額,3000
35,基礎_仕訳,手形,四択_仕訳,"得意先から売掛金回収のため約束手形80,000円を受け取った。","借:受取手形 80,000 / 貸:売掛金 80,000","借:現金 80,000 / 貸:売掛金 80,000","借:売掛金 80,000 / 貸:受取手形 80,000","借:売上 80,000 / 貸:受取手形 80,000",A,手形を受け取り資産の受取手形増（借方）、売掛金の消滅（貸方）。,受取手形,80000,売掛金,80000
36,基礎_仕訳,利息,四択_仕訳,当座預金口座に受取利息500円が入金された。,借:当座預金 500 / 貸:受取利息 500,借:現金 500 / 貸:受取利息 500,借:受取利息 500 / 貸:当座預金 500,借:受取利息 500 / 貸:現金 500,A,資産の当座預金増（借方）、収益の受取利息（貸方）。,当座預金,500,受取利息,500
37,基礎_仕訳,貸倒引当金,四択_仕訳,"売掛金に対し貸倒引当金1,000円を設定した。","借:貸倒引当金繰入 1,000 / 貸:貸倒引当金 1,000","借:貸倒引当金 1,000 / 貸:貸倒引当金繰入 1,000","借:売上 1,000 / 貸:貸倒引当金 1,000","借:売掛金 1,000 / 貸:貸倒引当金繰入 1,000",A,費用の貸倒引当金繰入（借方）を計上し、資産のマイナス項目である貸倒引当金（貸方）を設定。,貸倒引当金繰入,1000,貸倒引当金,1000
